candidate_id,rank,score,reasoning
CAND_0093912,27,0.632475,"5.3yr at Razorpay as Senior Data Scientist (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; active on GitHub (81.5); penalized (penalty=0.5); last active: 52d ago"
CAND_0039383,28,0.631505,"7.1yr at Meesho as Applied ML Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.71); high career relevance; active on GitHub (86.4); penalized (penalty=0.4); last active: 105d ago"
CAND_0077285,29,0.629647,"5.5yr at Nykaa as Recommendation Systems Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (75.6); penalized (penalty=0.4); last active: 60d ago"
CAND_0079387,30,0.629639,"6.9yr at Microsoft as AI Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; high recruiter response (81%); penalized (penalty=0.4); last active: 68d ago"
CAND_0055905,31,0.629089,"8.1yr at Flipkart as Senior Machine Learning Engineer (FAISS, Sentence-Transformers, RAG); strong semantic match (0.77); high career relevance; high recruiter response (87%); minor penalty (0.2); last active: 46d ago"
CAND_0057563,32,0.628758,"6.8yr at Locobuzz as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; high recruiter response (83%); last active: 72d ago"
CAND_0091534,33,0.625527,"16.6yr at Flipkart as AI Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.73); high career relevance; high recruiter response (84%); minor penalty (0.2); last active: 58d ago"
CAND_0046525,34,0.62406,"6.1yr at Genpact AI as Senior Machine Learning Engineer (FAISS, RAG); strong semantic match (0.77); high career relevance; high recruiter response (88%); penalized (penalty=0.4); last active: 40d ago"
CAND_0018722,35,0.622117,"6.6yr at Saarthi.ai as Recommendation Systems Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; active on GitHub (94.3); high recruiter response (79%); penalized (penalty=0.4); last active: 69d ago"
CAND_0011687,36,0.621864,7.8yr at Niramai as Senior NLP Engineer (Pinecone); strong semantic match (0.74); high career relevance; active on GitHub (76.3); high recruiter response (89%); penalized (penalty=0.5); last active: 53d ago
CAND_0037566,37,0.621855,"6.9yr at LinkedIn as Machine Learning Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.71); high career relevance; active on GitHub (73.4); last active: 73d ago"
CAND_0052682,38,0.620855,"6.6yr at Aganitha as NLP Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (72.4); high recruiter response (88%); penalized (penalty=0.5); last active: 96d ago"
CAND_0005649,39,0.620551,"7.4yr at Sarvam AI as Senior Data Scientist (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (80.7); minor penalty (0.2); last active: 79d ago"
CAND_0007009,40,0.618959,"7.9yr at Wysa as Recommendation Systems Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; penalized (penalty=0.4); last active: 105d ago"
CAND_0044855,41,0.618513,"6.6yr at Flipkart as Senior Data Scientist (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; penalized (penalty=0.4); last active: 69d ago"
CAND_0096172,42,0.617639,"5.2yr at Krutrim as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; penalized (penalty=0.4); last active: 60d ago"
CAND_0010685,43,0.616975,"6.7yr at Rephrase.ai as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; high recruiter response (83%); minor penalty (0.2); last active: 108d ago"
CAND_0030827,44,0.615409,"5.4yr at Freshworks as Senior Data Scientist (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; minor penalty (0.2); last active: 84d ago"
CAND_0062247,45,0.61328,"7.3yr at Google as AI Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; high recruiter response (78%); penalized (penalty=0.5); last active: 70d ago"
CAND_0027691,46,0.613083,"6.5yr at Haptik as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; penalized (penalty=0.5); last active: 93d ago"
CAND_0098846,47,0.610613,"7.6yr at upGrad as AI Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; active on GitHub (86.2); minor penalty (0.2); last active: 70d ago"
CAND_0051292,48,0.61003,"5.2yr at Freshworks as Applied ML Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.74); high career relevance; penalized (penalty=0.4); last active: 81d ago"
CAND_0050454,49,0.609582,"6.8yr at Rephrase.ai as AI Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; high recruiter response (77%); penalized (penalty=0.4); last active: 66d ago"
CAND_0070398,50,0.609241,"7.2yr at Genpact AI as Machine Learning Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; penalized (penalty=0.5); last active: 79d ago"
CAND_0007412,51,0.607852,"7.4yr at Zoho as Applied ML Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; high recruiter response (76%); penalized (penalty=0.4); last active: 74d ago"
CAND_0086022,52,0.607523,"5.3yr at Sarvam AI as Senior Applied Scientist (FAISS, RAG); strong semantic match (0.77); high career relevance; active on GitHub (75.2); penalized (penalty=0.5); last active: 78d ago"
CAND_0037000,53,0.604758,"2.7yr at Unacademy as Search Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; minor penalty (0.2); last active: 47d ago"
CAND_0041610,54,0.604556,"6.7yr at Zoho as Recommendation Systems Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; penalized (penalty=0.4); last active: 49d ago"
CAND_0052328,55,0.602182,"6.5yr at Amazon as Recommendation Systems Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (77.6); high recruiter response (79%); penalized (penalty=0.4); last active: 93d ago"
CAND_0028793,56,0.602169,"7.2yr at Google as Search Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (83.1); penalized (penalty=0.4); last active: 80d ago"
CAND_0017960,57,0.601144,"7.7yr at Nykaa as Recommendation Systems Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.71); high career relevance; active on GitHub (92.4); high recruiter response (72%); penalized (penalty=0.4); last active: 66d ago"
CAND_0068811,58,0.599506,"8.0yr at Freshworks as Applied ML Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; penalized (penalty=0.5); last active: 42d ago"
CAND_0061265,59,0.59636,"6.6yr at Zoho as Recommendation Systems Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; active on GitHub (79.8); high recruiter response (94%); penalized (penalty=0.5); last active: 99d ago"
CAND_0020877,60,0.596275,"5.1yr at CRED as Applied ML Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.71); high career relevance; active on GitHub (74.4); penalized (penalty=0.5); last active: 90d ago"
CAND_0027801,61,0.595886,"7.4yr at InMobi as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.71); high career relevance; penalized (penalty=0.4); last active: 81d ago"
CAND_0075249,62,0.595352,"6.2yr at Zomato as Applied ML Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; high recruiter response (82%); penalized (penalty=0.4); last active: 84d ago"
CAND_0041669,63,0.594694,"8.0yr at CRED as Recommendation Systems Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; active on GitHub (70.9); high recruiter response (77%); penalized (penalty=0.5); last active: 87d ago"
CAND_0043228,64,0.594049,"6.8yr at Zoho as Applied ML Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; penalized (penalty=0.5); last active: 41d ago"
CAND_0073883,65,0.5928,5.3yr at Krutrim as AI Specialist (no specific JD tech); strong semantic match (0.72); high career relevance; high recruiter response (92%); penalized (penalty=0.5); last active: 39d ago
CAND_0058575,66,0.592073,"5.8yr at Krutrim as AI Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.71); high career relevance; minor penalty (0.2); last active: 88d ago"
CAND_0031593,67,0.591902,"7.8yr at Genpact AI as Search Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; last active: 105d ago"
CAND_0002025,68,0.590594,5.9yr at Apple as Senior AI Engineer (no specific JD tech); strong semantic match (0.74); high career relevance; active on GitHub (96.9); high recruiter response (80%); penalized (penalty=0.5); last active: 37d ago
CAND_0051630,69,0.590055,"6.0yr at Razorpay as Machine Learning Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.74); high career relevance; penalized (penalty=0.4); last active: 89d ago"
CAND_0040117,70,0.589903,"6.5yr at PhonePe as Recommendation Systems Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; minor penalty (0.2); last active: 107d ago"
CAND_0016163,71,0.589168,"6.7yr at Dream11 as Applied ML Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; active on GitHub (95.0); high recruiter response (72%); penalized (penalty=0.5); last active: 82d ago"
CAND_0081852,72,0.587813,"5.9yr at Mad Street Den as Senior Data Scientist (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; active on GitHub (87.9); penalized (penalty=0.5); last active: 40d ago"
CAND_0069905,73,0.585841,"6.6yr at Sarvam AI as Applied ML Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.71); high career relevance; high recruiter response (78%); penalized (penalty=0.4); last active: 72d ago"
CAND_0019480,74,0.584288,"2.8yr at Meesho as NLP Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; high recruiter response (87%); minor penalty (0.2); last active: 50d ago"
CAND_0054123,75,0.583211,"4.7yr at Meta as Applied ML Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; active on GitHub (71.5); high recruiter response (87%); penalized (penalty=0.5); last active: 55d ago"
CAND_0070485,76,0.583004,"6.4yr at Saarthi.ai as Search Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.74); high career relevance; last active: 91d ago"
CAND_0075574,77,0.579689,"5.7yr at Haptik as Machine Learning Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; penalized (penalty=0.5); last active: 46d ago"
CAND_0040887,78,0.578274,"4.7yr at Netflix as Machine Learning Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.72); high career relevance; high recruiter response (84%); penalized (penalty=0.4); last active: 39d ago"
CAND_0052335,79,0.573969,"6.4yr at Aganitha as Applied ML Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; high recruiter response (79%); minor penalty (0.2); last active: 83d ago"
CAND_0049538,80,0.570717,5.8yr at Saarthi.ai as Applied ML Engineer (no specific JD tech); strong semantic match (0.73); high career relevance; active on GitHub (90.8); high recruiter response (72%); penalized (penalty=0.5); last active: 36d ago
CAND_0093547,81,0.570293,2.9yr at PhonePe as Senior Machine Learning Engineer (Pinecone); strong semantic match (0.75); high career relevance; high recruiter response (75%); penalized (penalty=0.5); last active: 83d ago
CAND_0044222,82,0.567711,"7.7yr at PolicyBazaar as AI Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; penalized (penalty=0.5); last active: 48d ago"
CAND_0074225,83,0.565471,"4.3yr at Unacademy as Machine Learning Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; high recruiter response (91%); penalized (penalty=0.5); last active: 43d ago"
CAND_0004402,84,0.563114,6.0yr at Yellow.ai as AI Research Engineer (PyTorch); strong semantic match (0.72); high career relevance; high recruiter response (83%); minor penalty (0.2); last active: 38d ago
CAND_0005538,85,0.561305,5.9yr at Adobe as Senior AI Engineer (no specific JD tech); strong semantic match (0.74); high career relevance; high recruiter response (81%); penalized (penalty=0.5); last active: 46d ago
CAND_0093331,86,0.561107,"16.1yr at Genpact AI as NLP Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; active on GitHub (74.0); penalized (penalty=0.5); last active: 85d ago"
CAND_0030953,87,0.560546,"7.8yr at Nykaa as Search Engineer (Sentence-Transformers, RAG, OpenAI); strong semantic match (0.71); high career relevance; penalized (penalty=0.5); last active: 82d ago"
CAND_0053695,88,0.559207,"5.8yr at Meesho as Recommendation Systems Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.73); high career relevance; penalized (penalty=0.5); last active: 91d ago"
CAND_0011432,89,0.558573,"7.6yr at Amazon as Senior Data Scientist (RAG, Pinecone, OpenAI); strong semantic match (0.72); high career relevance; minor penalty (0.2); last active: 108d ago"
CAND_0010603,90,0.558397,5.3yr at BYJU'S as ML Engineer (no specific JD tech); strong semantic match (0.72); active on GitHub (78.9); high recruiter response (94%); penalized (penalty=0.4); last active: 40d ago
CAND_0076251,91,0.557915,"7.6yr at Haptik as Search Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; minor penalty (0.2); last active: 78d ago"
CAND_0077296,92,0.556886,5.8yr at Ola as Computer Vision Engineer (no specific JD tech); strong semantic match (0.70); high career relevance; active on GitHub (76.9); minor penalty (0.2); last active: 43d ago
CAND_0026532,93,0.556039,"4.8yr at Zomato as Recommendation Systems Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.72); high career relevance; penalized (penalty=0.5); last active: 96d ago"
CAND_0020708,94,0.554458,"4.2yr at PolicyBazaar as Search Engineer (Elasticsearch, FAISS, Sentence-Transformers); strong semantic match (0.71); high career relevance; active on GitHub (84.3); high recruiter response (84%); penalized (penalty=0.4); last active: 99d ago"
CAND_0047539,95,0.553961,"5.9yr at Zomato as Mobile Developer (Kafka, RAG); strong semantic match (0.70); high recruiter response (80%); last active: 38d ago"
CAND_0084819,96,0.553894,"4.5yr at Dream11 as Search Engineer (RAG, Pinecone, OpenAI); strong semantic match (0.73); high career relevance; high recruiter response (74%); penalized (penalty=0.4); last active: 54d ago"
CAND_0050876,97,0.553537,6.0yr at Freshworks as Applied ML Engineer (no specific JD tech); strong semantic match (0.74); active on GitHub (86.1); penalized (penalty=0.5); last active: 37d ago
CAND_0023403,98,0.552232,"7.3yr at Initech as QA Engineer (Kafka, RAG); strong semantic match (0.70); high recruiter response (71%); last active: 38d ago"
CAND_0080344,99,0.551482,4.9yr at Zoho as Senior Software Engineer (ML) (PyTorch); strong semantic match (0.71); high career relevance; last active: 44d ago
CAND_0032887,100,0.551438,6.1yr at Niramai as ML Engineer (no specific JD tech); strong semantic match (0.71); high recruiter response (81%); minor penalty (0.2); last active: 38d ago
